date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2018/8/28,40410531,248.5,250,248,249.5,4.5,242.5,241.9833333,65.15437422,2.700948841,2.837805941,-0.1368571,0.035600557,-1
2018/8/29,57633182,253.5,259,253.5,259,9.5,244.25,243.1833333,73.80406729,3.722461478,3.014737049,0.707724429,0.243288349,-1
2018/8/31,70000506,257.5,259,254,256,-7.5,248.35,245.1,63.8646696,5.060956429,3.715918203,1.345038226,0.131825515,-1
2018/9/3,34510555,259,260,256.5,257,1,250.1,245.6333333,64.71518505,5.256680951,4.024070752,1.232610198,0.509231819,-1
2018/9/5,52706459,260,264.5,259,264,6.5,253.95,246.9666667,70.35153924,5.951559054,4.628118247,1.323440807,0.805443198,-1
2018/9/6,39779488,268,268,261,261,-3,255.6,247.6333333,65.4979034,6.084381044,4.919370807,1.165010238,0.139785791,-1
2018/9/7,44746728,263,264,260.5,264,3,257.65,248.2833333,67.88405982,6.358422421,5.207181129,1.151241292,0.457384406,-1
2018/9/10,62851599,266.5,266.5,262.5,264.5,0.5,259.6,248.9166667,68.27783619,6.540552589,5.473855421,1.066697168,0.1718712,-1
2018/9/11,44981276,263,263.5,258,260,-4.5,260.65,249.3833333,61.02565479,6.249736594,5.629031656,0.620704938,0.216899436,-1
2018/9/12,38415965,261,262,258,260.5,0.5,260.8,249.8,61.51478557,5.990553275,5.70133598,0.289217296,0.501311022,-1
2018/9/13,37959180,260,260,253.5,255,-5.5,259.95,250.15,53.55305007,5.280474569,5.617163698,-0.336689128,0.119407398,-1
2018/9/17,25041358,262.5,262.5,257,258,-3,260.55,251.0333333,55.72318612,4.736659424,5.365132848,-0.628473424,0.012034721,-1
2018/9/18,34381152,256.5,257,254,254.5,-3.5,260.25,251.4666667,51.43516575,4.085432547,5.109192788,-1.023760241,0.060536473,-1
2018/9/19,69978711,258,260,257,258,3.5,259.65,251.8166667,55.15180613,3.807856702,4.848925571,-1.041068869,0.0319791,-1
2018/9/25,24978062,261.5,264,260.5,263.5,2,259.2,253.5666667,60.65093519,3.820352028,4.31388701,-0.493534982,0.119873108,-1
2018/9/26,25061115,263,263.5,261,263.5,0,259.55,254.2333333,60.65093519,3.867530858,4.22461578,-0.357084922,0.004130042,-1
