標題,日期,sentiments
[新聞] 《半導體》台積電法說明登場，能否利空出,2019/1/16,0.13102108525768397
[新聞] 台積電法說剉？天王分析師給5大考題 不,2019/1/17,0.4544870620891239
[新聞] 台積電去年EPS=13.54元 創新高,2019/1/17,0.6880180130748709
[新聞] 台積電預估首季營收73-74億美元 季減逾2,2019/1/17,0.03159172101696728
[新聞] 台積電今年投資百億美元不變 配發股利會,2019/1/17,0.258537328386797
[新聞] 《半導體》台積電股利續增，今年營收成,2019/1/18,0.05405170311399532
[新聞] 台積電拋重新議價震撼彈 矽晶圓族群股價,2019/1/18,0.16282648832866198
[新聞] 台積電釋利空股價hold住　法人：貿易戰,2019/1/18,0.0124811535720869
[新聞] 華爾街日報：台積電英特爾爭鋒 各有隱憂,2019/1/19,0.12091211869921581
[新聞] 〈中國驚嚇3〉電池廠慘兮兮　台積電台達,2019/1/19,0.8479614099447857
[新聞] 最懂台積電分析師 喊目標價196元,2019/1/22,0.17628278622142102
[新聞] 賽靈思展望佳 台系供應鏈台積電、先豐有,2019/1/25,0.36094844937902804
[新聞] 台積南科14B廠原料出問題 上萬晶圓報廢,2019/1/28,0.03970842146780784
[新聞] 台積電議價大砍10%　數千家供應鏈咬牙苦,2019/1/29,0.19712228885187766
[新聞] 台積電再出包！他砲轟：這已經不像我們過,2019/1/29,0.007968700680400898
[新聞] 台積出包，萬點曇花一現,2019/1/29,0.8223775569523206
[新聞] 確認萬片晶圓報廢 台積電：不影響本季財,2019/1/29,0.6959722080266887
[新聞] 台積公司針對媒體報導晶圓14B廠晶圓受汙,2019/1/29,0.5519256626846258
[新聞] 不到半年連續出包 台積電市值狂掉1600億,2019/1/30,0.4895545031130857
[新聞] 傳華為要求產線移往中國 台積電：已有設,2019/1/30,0.29462365554771
[新聞] 8吋晶圓代工需求強勁　台積電、世界先進,2019/2/01,0.12737334524331578
[新聞] 賣女友？GF8寸晶圓廠作價2.4億賣給台積電,2019/2/02,0.13871528663689203
[新聞] 7奈米EUV製程戰火燃　台積電3月領先量產,2019/2/12,0.02761989685593713
[新聞] 內鬥？螺絲鬆？沒有張忠謀的台積電 連環,2019/2/15,0.2717780717398416
[新聞] 台積電元宵節發大紅包　將創現金股息總額,2019/2/17,0.17660058357872221
[新聞] 台積電 吃下10萬片報廢晶圓,2019/2/18,0.22504711299175795
[新聞] 三星、台積電8吋產能搶單 二線廠另闢生路,2019/2/19,0.11703050518323566
[新聞] 台積電配10元現金創歷史新高　今年首度,2019/2/19,0.8591623770835985
[新聞] 8+2元 台積今年兩次配息,2019/2/20,0.29716566103067954
[新聞] 遠勝台積！三星股價今年飆21%　外資大買,2019/2/21,0.009928078370760152
[新聞] 台積電晶圓瑕疵估損61億元,2019/2/23,0.22520540096496333
[新聞] MWC／高通5G超級晶片 帶旺台積,2019/2/26,0.8425552515786824
[新聞]台積電2月營收608.89億年減5.8%,2019/3/08,0.04093486963471882
[新聞] 存股達人報酬率暴漲88倍 身價全靠台積電!,2019/3/09,0.24879219115459628
